numTreeFactor numTree numRows numAttr accuracy
15 1349 61 6 0.797616601603
15 1349 61 6 0.701047873433
15 1349 61 6 0.523936716663
15 1349 61 8 0.513868913088
15 1349 61 8 0.753852475858
15 1349 61 8 0.398397370043
15 1349 61 8 0.422847750154
15 1349 61 11 0.773782617629
15 1349 61 11 0.676392027943
15 1349 61 11 0.750154099034
15 1349 61 11 0.763098417917
15 1349 61 11 0.751797822067
15 1349 61 11 0.736387918636
15 1349 61 11 0.691185535237
15 1349 61 11 0.748715841381
15 1349 61 11 0.694267515924
15 1349 61 11 0.490856790631
15 1349 61 11 0.783234025067
15 1349 61 11 0.77809739059
15 1349 61 11 0.565440723238
15 1349 61 11 0.760427367988 8
15 1349 61 11 0.756728991165 8
15 1349 61 11 0.742346414629 8
15 1349 61 16 0.801725909184 8
15 1349 61 42 0.678241216355 8
15 1349 61 42 0.736593384015 8
15 1349 61 28 0.748715841381 8
15 1349 61 28 0.792890897884 8
15 1349 61 28 0.734127799466 8
15 1349 61 28 0.747688514485 8
15 1349 61 25 0.730223957263 8
15 1349 61 22 0.781795767413 8
15 1349 61 22 0.802547770701 8
15 1349 61 22 0.652968974728 8
15 1349 61 22 0.787137867269 8
15 1349 61 19 0.792890897884 8
15 1349 61 19 0.424696938566 8
15 1349 61 19 0.731867680296 8
15 1349 61 19 0.758372714198 8
15 1349 61 19 0.722210807479 8
15 1349 61 16 0.784055886583 8
15 1349 61 16 0.714608588453 8
15 1349 61 16 0.808506266694 8
15 1349 61 16 0.770495171564 8
15 1349 61 16 0.780768440518 8
15 1349 61 16 0.7937127594 8
15 1349 61 16 0.640230121225 6
15 1349 61 16 0.798849393877 6
15 1349 61 16 0.787137867269 6
15 1349 61 16 0.792479967126 6
15 1349 61 16 0.638791863571 6
15 1349 61 16 0.738237107047 6
15 1349 61 16 0.769673310047 6
15 1349 61 16 0.765153071707 6
15 1349 61 16 0.764331210191 6
15 1349 61 16 0.762071091021 6
15 1349 61 16 0.748510376002 7
15 1349 61 16 0.525169508938 7
15 1349 61 16 0.717279638381 7
15 1349 71 16 0.758372714198 7
15 1349 179 16 0.840147935073 7
15 1349 179 16 0.776042736799 7
15 1349 179 16 0.805424286008 7
15 1349 179 16 0.834600369838 7
15 1349 179 16 0.790425313335 7
15 1349 359 16 0.857612492295 7
15 1349 629 16 0.878775426341 7
15 1349 629 33 0.876309841792 7
15 1349 1799 33 0.8968563797 7
15 1349 2698 33 0.919046640641 7
15 1349 7196 33 0.947606328334 7
1 89 7196 33 0.943291555373 7
1 89 7196 8 0.945757139922 7
1 89 7196 5 0.921101294432 7
1 89 8096 5 0.947811793713 7
0.5 44 8096 5 0.951099239778 7
0.5 44 8096 5 0.952332032053 7
0.3 26 8096 5 0.940004109308 7
0.3 26 8096 5 0.941853297719 7
0.3 26 8096 8 0.937743990138 7
0.3 1 8096 8 0.936511197863 7
0.3 1 8096 8 0.934456544072 7
0.3 1 8096 8 0.899321964249 4
0.3 1 8096 8 0.944318882268 8
0.3 1 8096 8 0.944524347647 8
0.3 1 8096 45 0.945346209164 8
0.3 1 8096 45 0.95068830902 8
0.3 1 8096 45 0.954181220464 8
0.3 1 8096 90 0.95068830902 8
0.3 1 8096 90 0.955619478118 8
0.3 26 8096 90 0.936100267105 7
0.3 26 8096 90 0.943497020752 8
0.3 26 8096 90 0.869734949661 3
0.3 26 8096 90 0.708239161701 1
0.3 26 8096 90 0.931990959523 7
0.1 8 8096 90 0.937127594 7
0.1 8 8096 90 0.942264228478 7
0.1 8 8096 90 0.950893774399 7
0.1 8 8096 90 0.942880624615 7
0.1 8 7196 8 0.954592151223 8
0.1 8 7196 8 0.941236901582 8
0.1 8 7196 8 0.951510170536 8
0.1 8 7196 7 0.946579001438 8
0.1 8 7196 7 0.949660982125 8
0.1 8 7196 7 0.944524347647 8
0.1 8 7196 5 0.943497020752 8
0.1 8 7196 5 0.947400862955 8
0.1 8 7196 5 0.943702486131 8
0.1 8 7196 5 0.952332032053 8
0.1 8 7196 5 0.931785494144 8
0.1 8 7196 5 0.94164783234 8
1 89 7196 5 0.938565851654 8
1 89 7196 5 0.935894801726 8
1 89 7196 2 0.935278405589 8
1 89 7196 2 0.927881651942 8
1 89 7196 11 0.950071912883 8
1 89 7196 11 0.34744195603 8
1 89 7196 11 0.34744195603 8
1 89 7196 11 0.928908978837 8
1 89 7196 11 0.937743990138 8
1 89 7196 56 0.946784466817 8
0.5 44 7196 56 0.943702486131 8
